text,label
good afternoon twitterverse happy sunday,1
is frustrated i need my phone oh fathers day i hate this day i miss you daddy,0
just saw your sea legs comment yeah i wish yours would go away too i hope david s balance system isn t broken like yours is,0
i feel like im gonna pass out i as just sleepwalking,0
worried sick now about my granddaughter she s at hasbro possibly needing to have her shunt revised which means another surgery,0
is tired and has a headache,0
done w gp essay thingy and yea he came across my mind and suddenly i wrote a paragraph about him yea you re my insipiration for today,1
well there is a thruth in here,1
hi claudia luv ur paintings they are simply beautiful works of art keep up the good work and get em sold,1
rolls total i d buy now if you re getting them abroad rolls would only last me a week maybe less sunny sky beckons,1
morning bb awww watch some robsten videos and you ll feel better,0
ok i haven t been on here ages they banned twitter at work,0
been a long tiring weekend but i am glad we managed to achieve quite a bit can t wait till we are actually in our new home,1
is it halloween yet i d prefer to go all indy for the cutting utensils,1
comments yeah you can post comments here as in sa post click me then sa baba pwede na kayo magpost,1
haha i hope he does that it d be good fun he ll probably be in a great shape heard that he s losing weight for the gigs,1
well i am wondering about just packing one pair of trousers and multiple librarian cardigans don t have any grey ones though,0
wrong i m still a coke and drp person besides even generic is cents a liter now they keep creepin up,0
happy tuesday tweeps make it a gr day,1
roommate annoys me is it necessary to show off your weird cooking sticky rice egg veg cheese wtf u dont eat cheese with rice,0
finished upload i feel i need more work at vlogging so i pulled it down gonna stick to making music for now,0
thanks i ve lived in florida since and i miss snow,1
good q we had lovely walk on beach this morning now huddled in front of heater as it is very cold amp windy now,0
chillin with boca burrito grandma and john lt cross words are fun,1
i tried to sleep in on the first day of summer but my dad woke me up at and made me clean way to early,0
haha i did a ltiitle bit yesterday and ive been out all day so i think ima chick an allnighter hahaha not cool,1
try to cheer up and smile,1
hey i would love to know why ur not following me,0
gemma might i add your profile picture thing you re really pretty,1
haven t done it in a couple of years,0
awwww shit hope you ready this shit fam straight trap muzik,1
despite all the help i m still going to fail my science test,0
my phone does not work in the dons,0
you just found out about no doubt now their name has been repeatedly showing up on the gm place billboards for awhile,1
hi miley i wish you could come to peru plz reply,1
no why,0
in ten minutes shopping demi lovato back around demi lovato behind enemy lines have you all seen the titanic trailer its really good,1
coulda done without the censorship tho,0
lol attack of the coanine facial hair again bella looks good with a mo,1
has alotta fun at my party last night,1
went out last night with my friend so havent finished any assignment,0
i thought u were coming to sanctuary tonight,0
iranian protests were able to delay the twitter downtime but apparently had no effect on xbox live going down for tonight iranelection,0
i am glad that you have found your place to be all people need to find such a place,1
is listening to blink in the in n out drive thru life is good,1
i wanted to go to the movies,0
i dont like exams eugh summer in days though yay,1
