text,label
looking forward to heading to europe later this week sadly no stop in the uk this trip i won t see my family for weeks,0
i know what you mean and i can t even go watch heu heu spanish oral i m barely prepared for,0
yeah brisbane show,1
at sandee s surprise bday party with puma jenn keiran and a bunch of other peeps,1
but i remember how it sounds well enuff to sing it to self in my head,1
and remind us all again why we all get to see pics of him topless no less gag,0
good morn world haa yesterday was fun we just ended up putting this red spray in our hair and taking a tonne of pics,1
watching infomercials cuz sleep broke up with meh,0
jonas brothers taking their bow but sad cuz it was over was the best concert ive evaa been to seriously,0
i ll dm it u even tho it hasn t changed,0
that sucks how are you going to buy me a present now bum some money off will or something,0
my nieces were asking where aunt christy was today i can t wait to see them tomorrow,1
my wee girl kitty is getting her operation tomorrow hope everyting goes okay wee baby will be so scared,0
you just made my week lt great job tonight great win tell wilson that was a hell of a th go giants,1
thank you for reading it congrats on your new twin grandchildren,1
there are no free meals but we will love you in any case even if you sell your balls to orange,1
come to pinks,1
thanks did i already miss crystal,0
juice is back sorry i had a moment but i m good i love my bff ee he makes everything better rip kendal lt still miss my brother,0
eu cred ca vin cu trotineta,1
gonna go watch demolition man and try to figure out how you would use shells to wipe your butt lol bye,1
lol and sorry about your shorts,0
very hungry going to eat something and after that work work work,1
same thing happens with our peanut butter,0
wow congrats and no no this is the second of shame everything else is cool being a whore sale is moment,0
sleeping hoping to wake up early to watch tennis,1
eating some bangin food my mom rocks,1
exam to go went into politics knowing nothing and bullshitted my way through i think it went well biol tmoz not gunna bullshit that,1
i shoot macro all the time i use the nikkor mm f lens,1
i hate the way i look in the mirror,0
yes was scuppered by a bad hard drive and since then i ve been running to catch up won t have a time for a couple of weeks,0
sooo mac lashes r way too big for my small eyes they re so purty tho and loving the way graftobian hd looks,0
argh i would but i currently lack a vehicle,0
sitting at home missing bellydance,0
at the dermatologists office,0
i would hope soo cause if bad we was gonna have problems lol j p,1
what has everybody got planned for today i d love to know,1
who needs her when u have the only man that counts,1
and so today was pretty uneventful lol movie marathon,1
d is a no go new pictures on,0
haha sure where u at what music u want me to krank up for u,1
but im not really a junkie or anything,1
it s not that i hate pit bulls i m just bummed the other dogs must suffer bc of them,0
i am just getting use to twitter am i brave enough to join tweet deck another new thing to get use to ok deep breath amp dive in,1
we have succeeded well true,1
tear tear,0
also it has a dense treatment of cps and continuation based interpreter design which is not there in sicp good to have both,1
though i have about jaggy nettle stings from running through the forest sorry grant quot gt,0
lifehacker is down for me any idea what s going on,0
planning for a movie with friends day after tomor,1
mock the week baybieeee,1
ooooh nice numbers beautifully neat,1
we understand you re really busy i m sure you ve got about a million things going on hope you had a good day,1
i have the munchies and there is nothing to munch on,0
keeps thinking that there are worms in her tummy but no deworming tablet has proved so then why am i so hungry all the time,0
the best part is that there is one just minutes away from home,1
nope never not once in years the game isn t that interesting to me i d rather watch newts copulate,1
the jonas brothers commented me back,1
up is amazing i saw it the other day and loved it you haveta see it i swear it s amazing,1
had a blast w my ph bitches love those girls bingo serving these bingo fiends w out bff,0
why don t people burst into the song why can t we be friends more often there would be much less violence in the world,1
i ve been stopped and warned before first ticket if revenues were better and i were younger it might have been a warning,1
still feeling sick hour nap with horhay and im still sleepy wtf,0
then what,1
red or white also i didn t know care rouge was like a chain i though it was just a signal restaurant o the power of twitter,1
stuck on nj transit for the past twenty minutes great way to start the week,1
oh goodness hear a song and the memories rush in like a flood,0
you are too cute love ya,1
bought a guitar studying for exams has been on facebook way way to long and has found out the girl he likes likes him back,1
forourhero forourhero forourhero forourhero forourhero forourhero forourhero i mhelping promote for our hero you can do it to it s easy,1
haha it s horrible i think my lack of sleep makes me cranky o,0
awaiting my plane to san jose for bol tomorrow dining on mcdonald s i d forgotten never to eat it again now i remember why,0
is full of cold,0
i know i have to listen to you more positive vibes,1
i love aladdin,1
classic nick walker amp ome great blek rat inspired stuff nice guy to boot arrived late so all the really good stuff was sold,0
and wats this got to do with you guy are such teases really getting inoying,0
work till wish i was out on the boat,0
not the chair but the static from cellphone signal,0
on the tills today iam not a fan of tills bah,0
no i am not home i need to be soon though at some point this summer i will let you know of course,0
bye bye i m off to somewhere,1
time to retire for the evening tomorrow will be another beautiful day,1
i m being paid to listen to this morning tell yer newsroom to slow down i can t type that fast,1
it s ok i was up till,0
business as usual looking to make new samples for the summer including citronella this year,1
i love girls i love how god made us,1
