text,label
tried buy a pair of sneakers today mission failed too colorful ugly tacky flamboyant models there were a few good ones all men,0
haha well plans change,1
ok i m looking for an internship for the summer in new york city but no luck yet,0
cluee,1
has a stomach virus been sick for a couple days i just want it to go away,0
shooting zombies in the crotch is hilarous they try to block the bullets from hitting the goods,1
saw a turtle a crab a stingray too many fish birds and lizards to count but no manatees,0
kidna wishin i had stayed out now,0
cant wait for the new hannah motana programmes to come out there gonna be soooo coool,1
eeee excited for tommorrrow grantham here i come hopefully there s some nice people familyy theree,1
aghrrr what a storm and i m still without power,0
hey happy hump day everyone sun is shinning and life is soo wonderful,1
i know why would people make fun of others,0
jamming out to silent lucidity from queensryche cool tune think this is a mp i made from an old tape low tech baby,1
watching new show called the phone and last w eek they called my hubby but he missed the call thegreenteen,0
you look so much like jena malone in your pic i just watched a movie with her in it,1
star trek at the imax tonight v excited about it,1
ready for school,1
i m about to go on lt,1
it s nap time assembly is over next leadership pathways begins for leaders june,1
who doesn t i can beat you anytime if you have a ps p,1
feels like shit and dosnt like it at all,0
noelle isn t gonna play him anymore,0
im up had stomach pains in the middle of the night i dont know what that was all about,0
vacay is over goin to bed i got work tomorrow and maybe school lol i gotta check my schedule tomorrow good night and god bless,1
you know you can read almost all your tweets as some sort of disgusting euphamism it s quite fun,1
or not they ve killed the site,0
worst headache in a loooong time,0
nobody wants to txt me right now amp i can t get to my computer,0
this will always be my favorite video with kevin and nick would ve joined in svetlana j co,1
naa i can wait another day,1
there s a mini carnival at eastridge my team is strong,1
i like the google tetris logo,1
stephh you always were the most awesome one sweet sweet sweet heart its written all over ya face,1
yea i like miley but demi is on the top of my list and peru i wanna go there ive heard its so beautiful there,1
wash you hands with lime lemon one of the two it ll come off,1
i did bad on my quiz,0
whoa dude wasn t calling you a n b i don t use that kind of language,1
what i do now anyhoo thanks for the spank o x,0
ouch dearest i sure hope the f u is no one particular and f it cant be good either smile i order u hahaha,1
how do you connect to the safari on the ipod touch i m new to this,0
work at ten a m tomorrow goodnight my loves,0
just woke up from a long ass nap and now i have to get cracking on all of my lame homework,0
o new music video,1
hey new followers from overnight if you havent already check out my newest article photo gallery at bottom f india,1
how do send you a dm for the answer i can t figure it out,0
got my ipod at home,0
yes but i ve an issue with the verif file i ve sent an email to your support today,0
using isync to sync my old sony ericsson is annoying i miss you itunes sync and i ve only been without you for hours,0
im home now im about to lay down and relax everyone have a good evening,1
yes eric whitacre just finished his new satb song quot the moon is hiding in her hair quot i cant wait to sing it,1
yeah sleep isnt gonna find me anytime soon it seems not even alcohol can let me sleep so i had to sober up awake,0
tis video done yay haha i ll make on about you haha and your obsession,1
got burnt today,0
did anyone go photographing today i managed to get a few macro shots of some flowers that were blooming,1
the wtf counter is going up this is not cool datasets as domain entities different versions of them defined in various places,0
tummy full got that itis,1
couldn t find any gameboy advance games my daughter must play the same for the next weeks,0
cool lt love you i miss my mom,0
good morning debby what s your relation with josh,1
i have a horrible headache and advil didn t help,0
yuuppppp,1
gotcha hope you re feeling better in that sense,0
watching neighbors attempt to put large bolder in garden guess they don t know about hoa frowing on that,0
i am feeling beautiful today,1
i know but no more loratabtrain,0
yassss xfm quot dude looks like a lady quot reminds me of ryan in alice and wonderland haha,1
hahaha i am sooo not perfect p that was directed at a guy he s perfect for me but taken figures huh,0
check out s new battle studies video beautiful images gave me a boost,1
so proud of my momma she got a job so fast,1
i m soooo tired i only slept like hours and then my dog made me get up now i cant go back to sleep,0
hei i m ur indonesian fans,1
of june i ll see what i can do it d my birthday on the th,1
cali looking better these days,0
saw my name on the big screen for makeup hope this is the first of many,1
did you get miley tix,1
ah nectar of the beanie god that s better if i m going to go insane let it at least be clasping a latte to my bosom,1
you re so sweet thank you,1
really badly want mitchel musso s album but since im in new zealand it dosn t come out over here,0
hey there heidi i m new to twitter so just seeing if ppl do actually reply how was your maxim party,1
after breakfast served in bed we are going to see a movie quot monsters vs aliens quot then having another swim play date i leave tomorrow,0
get me sumthin with a retro or vintage music vibe,1
my dad loves me he said they ll help me move and if i need extra money securing a new apt to let me know he thought i was upset,0
good evening to you too,1
ugly kids there woahh where am i then,0
i never win on the radio all i want is to see matt nathanson play wednesday night oh well maybe another time if there is one lol,0
no hiss when i come down soon minutes of joy i have so many fascinating cubicle tales i d rather do door decs gasp,1
i m so disconnected,0
aha rugby game with year great memories,1
don t you dare leave twitter did you run something this weekend,1
rip live,0
thank you sounds so funny w the melody is it a particular mix asot,1
susan boyle has gone to rehab poor thing,0
all i know is that i m still no in australia s top influential twitterers and that s good enough for me,1
yea i was trying to get the book actually but i cant find it,0
so excited about seeing bruno not out for ages yet though,0
only a half bottle you can do better than that,1
okay more babysitting tomorrow so it s time for bed g night catch ya on the flip side,1
i looove that album its amazing i love his voice,1
thats my nigah she on it hahaha,1
im in the mood for amusment parks,1
not liking the new rediff india abroad homepage maybe it will grow on us can u relay junta ki aawaj to rediff,0
salt lake city to phoenix then home to sun city,1
sooooo yeah it s a m and i just ate a bowl of cheerios still jacked up on coffee i want to sleep but i can t,0
didn t like the sound of quot if and when quot,0
i hate that i couldn t be with you on your st,0
fuck so a car hit me as i was getting out of a drive way and took off my whole bumper off,0
i have no clue this is ridiculousss hopefully tomorrow it comes to an end,1
nah ill be working with someone else im not sure whoi dont remember,0
as of noon today my camera was in dallas its supposed to be here tomorrow and there is no departure scan,0
listening to new song i just got yay,1
i left my phone home,0
jackie likes babies and wet soggy hot dogs,1
i just want youuuuuuu what a great song ahah,1
has a wonderful hubby who s working from home to help look after the little one huzzah,1
yes i m getting tickets to see the dinosaurs at the cleveland zoo,1
i wanna a bberry,1
has a list of chores to get through today,0
lexi_r se awesome my car wont start again stranded at kenmore,0
yeah no worries i ll get through it by then,1
hated that one bottle was corked it was a wine which had a drinking window until,0
so my chances are looking good then,1
blog updated check it out is google adsense still a good way to monetize your blog,1
i know me too i m jamming out step is my fave big joemac fan here but  them all,1
ask kris how does his skin look so flawless and glowy what s your secret,1
thank you people for following meee,1
lol is trying keep me hostage but i have go work shermk,0
heh i wasnt sure if there would be wifi provision or if i d get use out of it all new to me this conf lark tempting,1
tmnt marathon on abcfamily but i have work,0
hahahahaaha man now i really wish i would have been able to come,0
says good evening music,1
i think i have the baby bird warm now i ll have to stay up all night making sure it s still warm its head looks like it s been bleeding,0
just got back from my run only saw two vehicles and they were police dead morning,1
i feel you when i logged back in i couldn t either,1
wayyyyyy too warm in helsinki dang it there should have been snow going to bbq in a park shortly,1
i have a car i ll take it,1
i think they can tell from your location who you ll vote for and the gokey fans are somehow getting their votes through,0
just what we need continued domination of animals,0
hair style in vain have to keep it same in ekhane akash neel can t let loose,0
awwww you ll be fine honey just give yourself an hour and a half in the mornings to wake up lol,1
girl tell me about rude people that s how i woke up to this morning too,0
for shipping i just cancelled my chechout process i want it but that s too much,0
multi tasking and working out hard this week keepin my goal in mind,1
heeeey you dont know me but your gorgeous tbf wb loveyou x,1
app store auch das heutige facebook update bringt keine push notification integration,0
haing a bad week with my endometriosis hence the painkillers,0
i m scared for the the upcoming quarters i don t want to faaaaaail,0
i think you are the only one fan of nelson,0
