text,label
"Hire a busboy! I had to say it. I had to take these pictures. This is my _third_ visit since my May update with the same result and I can't keep it to myself any longer. The staff neglects the dining room. Period. Dot. Patrons often have to move dirty plates, stacking them up on top of trays at another table, just to sit down.

My recommendation to the owners is to put up some garbage bins like all other self-busing fast-food places and make _us_ do it if you're not going to.

I have to wonder what happens to all those half-filled salsa squirt bottles left on the tables unrefrigerated for so long. Do they top off and return them to service, or are they emptied and washed before refilling?

It is my sincere hope that very soon I will be able to update this review again and say that things are back to normal. Until then, I have to advise driving a bit further south to Mi Patio, or north to Sylvia's La Canasta.",0
"I had lunch at Lon's and wow, what a great experience.  Great food, great service and great ambiance outside.  I met the Chef at an event and he was less than friendly.  Maybe he was having a bad day?  His unfriendliness aside, this is a must try if you are  in the area.",1
"Maybe I'm ordering the wrong stuff, but I've *always* been disappointed in the grub at 5&Diner... The service was STELLAR and I really do like the ability to dine Al-Fresco at 3am, but does everything need to be soaked in butter flavored crisco??? ughghg.",0
"From the moment you enter this place you get the feeling that you are entering some swanky underground restaurant, the lighting is dark and the decor is mysterious!!  I am in love with the fashionable staff who come to work wearing what they want as well as the chef in the back with the 12 inch mohawk. The drink menu is stocked with exciting choices such as ""In Between the Sheets"" and the ""Dirty School Girl""! Not your average bar! The BEST thing on the menu in my opinion is the House Made Fettuccine. Honestly the best homemade meat sauce ever and I am hard to please considering I was raised on Bolognese sauce! A great place to take a date whether it be your first or 100th this place will never disappoint.",1
My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasn't the best... I really don't mind paying top dollar for top dollar services but even with a 'coupon' it wasn't worth it. Won't be back...,0
"Dave at Dave's Ashtanga is the best yoga teacher. He is kind, considerate, patient and a very nice person. He will take the time to show you a yoga move or asana. He is very knowledgeable about different subjects. What I like best is once he said, ""here you can do nothing wrong.""",1
"So when you walk in, walk to the right and have the machine scan your card. I'm telling you this because I looked like a douchebag because I assumed that the Bally worker would scan my card. 

Oh yeah, you'll smell urine. 

Like, did someone just go crazy and piss all over the place? Seriously, how does a smell get so horrendous like that? What is that? 

There are a lot of treadmills and they're recent...not new...they look overused...but yeah. I'm sensitive to smell... I couldn't even exercise.",0
"The Vine Tavern (i'll omit the word Eatery as i'm fairly certain this term can't be applied to the food they serve at this establishment) is a vortex sort of culmination hang-out for low-brow Fred Durst clones and future (day-shift) strippers. With that being said, this cesspool of a building hasn't burned to the ground yet so I feel compelled to warn others before they consider spending an evening there.

Being new to the Tempe area, myself and a small group of friends decided to drop in to check it out.  As we approached the-dimly lit building I began to have second thoughts: my bloomy sense was tingling (more on this later). As we entered we were greeted by a lovely bouncer type gentlemen who begged us to pay the 5$ cover.... seriously. We were seated towards the back near a group of teenage mothers and their burly counterparts. We ordered food...

The food arrived in a timely manner, it may have been poisoned but i was too hungry to care. I ordered the mushroom/swiss burger.... 9 dollars-ish. If Mcdonalds ever begins selling their products in the frozen food aisle of grocery stores it might taste something like what they serve at The Vine. I had immediate food regret, my only consolation was the 1$ you call its and the poor old man behind the mic with his acoustic guitar wrapping up his set. Surreal. .. . .We regrettably paid and escaped out the back. 

Good: Cheap Drinks !!!!  
Bad: You may be stabbed!!!",0
"I moved to AZ about five months ago and have had two tragically bad haircuts from two other ""salons."" 

I wear my hair in a short pixie cut and it's very hard to find someone with the skills to do it right so I don't  end up with a mans cut.

I found Epic Salon here on Yelp and decided to give it a try.

I could not be more pleased.  My appointment yesterday was with Chey and she's wonderful. 

I am very exacting when it comes to how I like my hair cut and am fluent in industry terms so I can articulate what I want.

Chey listened very well and understood what I wanted. She totally delivered. 

I am so very relieved to have found her.  And at $26 (cut only, no blow out) it's a real deal.",1
"Of course it gets hot in the summer. You're going to be watching bands in a basement with a bunch of people and depending on when / what's going on there might be some idiots 'mawshing'. 

Sound quality is great for the size. Glad they reopened one of my favorite venues. and YES everybody has gotten lost the first time they tried to find the Nile. The main & front room have shows as well.",1
