text,label
"As I'm always on the chase for some of the best spicy tuna rolls, I would say Yen's is up there in my top 5.  

I haven't been in for happy hour yet, but I hear it is fantastic!  

Word to the wise though...do not get the dessert that looks like a pyramid.  I can't even remember what it is called.  But it claims to have a caramel center...um, not so much!  

If you can avoid the desserts, then this is a great place for sushi and even specialty rolls.  I haven't had any trouble with it being crowded or slow service like some reviews have mentioned.  But I've only been for lunch and then another time late at night.",1
"F724 

She didn't even look at me, didn't bother asking why I was entering her place of business, didn't reply when I spoke and in no way acknowledged that I was even in her presence. Just handed me a ticket and was done with me. If this happened anywhere else, I would make an effort to never return, tell all my friends how horrible this experience was, and write a scathing review about the deplorable customer service of this business. Sadly, this was my Saturday morning at the DMV, a place I think is modeled after the agonizing depths of Hell. With the same musac score playing...and the same voracious stench in the air..and the same spastic children running around (only in my version of Hell, it's politicians campaigning around me). 

So, I was already running late because I had to complete my emissions test early. Those nice people there not only told me there were only three DMVs open on Saturdays, they gave me a map. How precious. I was fortunate enough to be near one of the only DMVs open on Saturday (Seriously? Three DMVs open on Saturday for the entire Valley?) After receiving such a magnificent welcome, I knew this was quickly going to be among the most painful experiences of my life. To simplify what was so bad, let me make a list of what I feel constitutes acceptable behavior in public: 

1) Bathe. The combination of water and soap, along with massaging the skin, creates an outcome that is most pleasing. Be sure to scrub behind your ears and reference this website about another notorious spot : http://www.craigslist.org/about/best/htf/755891987.html 

2) Sit still. Yes, I know we're all waiting here for about an hour. But tapping your foot, rocking back and forth in your chair or bouncing your leg aren't going to make time go any faster. Trust me, I was watching the clock. If you feel anxious, get up and walk around. 

3) Leash your children. If they cannot sit quietly, leave them in the car. It's winter, they'll be fine. It's not cute when your little monster is running up and down the aisles with his honey bun squeezing out between his fingers. It's even more not cute when he fake-falls five times in a row right in front of me. 

4) Maintain quiet tones and ensure appropriate conversations when taking/making calls. To the lady behind me, I'm sorry you're not that experienced in stripping. The first thought that popped into my mind was you had a failed audition for Le Girl. Thanks to your continued conversation, I was able to figure out you were a woodworker. 

5) Acknowledge the humans around you. Yeah, I get it. I'm not that big. In fact, if I turn sideways I disappear. But, I'm still right in front of you so pay attention, quit bumping in to me and hitting my leg. Unless that was flirting, in which case you really need to find someone more your level. 

Oh, the DMV: You have a brilliant recipe for dashing dreams and gutting humanity. And you manage to do it in a painfully lit room that reeks of a combination of my brother's old gym shoes and my dad's dirty underwear. There has to be an award for that, but I don't have the motivation to research it. 

Oh, and F724 was my number upon entering. I spent and hour and 15 minutes looking at that slip of paper. Just so you know, that one star is for the website (which should probably get 3-4 stars but anchors like this oft sink the ship). 
 
Le sigh... 

Open T-Sa 8:00am - 5:00pm; information only after 4:30pm",0
"After browsing at the Bookman's next door, we were feeling hungry and were tempted by the notion of tasty burritos.  We ended up getting non-burrito meals, but were fully satisfied with our entrees.  The green chile plate was filled with perfectly cooked pork with a spicy tomatillo sauce that went well with the pork.  The horchata tasted freshly made and was very refreshing and light.  Overall, I think Big Burrito is a good option for those that want a filling meal without breaking your wallet.",1
"The bad: the bar closes at 10pm.  It seems like the western, country, wagon-wheel themed bar that you'd like to close down one night while playing some good tunes on the juke box and eating peanuts.  And also the french fries, file those under bad.

The good: the hamburgers are pretty much delicious.  Definitely go for guacamole, and add whatever you want from the topping wagon.

I didn't try one myself, but I hear the cookies are good.",1
"""I don't know who invented the high heel, but all men owe him a lot.""  (Marilyn Monroe)

A girl and her shoes...are a beautiful thing.  From bags to boots to tennis shoes to pumps to sandals, the selection (at least today) was EXCELLENT.  Not only were there a variety of brands but a variety of price points too.  This place had me salivating!  I could easily have purchased three (3) pair but decided to wait and visit again with a friend......it's a chick thing!",1
"This place is essentially a copy of the old Father's Office (www.fathersoffice.com) in Brentwood, CA.  It took me a while to get over that fact and give it a decent try.  Among the things Delux has copied from FO is the famous ""Office Burger,"" which Delux calls the ""Delux Burger.""  They also bring out the fries in a shopping cart just like Father's Office.  What Delux fails to copy, however, is the quality of the food and the high-end nature of the original.  At FO, the wines changed weekly and are all incredibly rare selections.  The beers at FO also tend towards the more obscure.  Delux seems to concentrate almost exclusively on beers and does have a decent selection, but nothing you can't find elsewhere.  Wines are available, but as an afterthought, and definitely not of the quality served at FO.  For Phoenicians who never experienced the joys associated with the original Father's Office, you're missing out.  It's like being an Eric Clapton fan but not even knowing who Muddy Waters is.  But all the imitation aside, I have to say that Delux does a pretty good job with everything and they have taken the FO concept and adapted it to the PHX strip mall environment.  

Food wise, everything I have tried was ok.  They did change their sweet potato fries a year or two ago because the other ones weren't ""crispy"" enough.  The problem is that these new crispier ones have no flavor.  When they were testing out the new fries, the manager asked me and a friend to opine and we told him the truth: We said the new ones are flavorless.  I guess we were the only ones who thought so because they went ahead with that change.  That lost them 1 star from this review.  I would rather have the soggier more flavorful ones (who knows how they make these new ones so crispy anyways?).  

When I go here, it's almost always out of convenience and late at night.  Not many places of this caliber stay open until 2 am, so it's about all there is when you are in need of a late night meal in this part of town.  Their 2 star rating is based on: clearly knocking off one of my favorite places, Father's Office (minus 1 star) and for ignoring my feedback on the new crispy tasteless sweet potato fries (minus 1 star).  They also lose a star for retaining the FO prices but substituting Phoenix strip mall quality.",0
"Skip the reviews that reference anything about bad service.  Da Beau and I ate lunch, here, today and we had a very pleasant experience.  Yep, a solid four-stars.    

It was our first visit.  I was familiar with Mia Francesca (""MF"") as a friend of mine, who lives in Chicago, has, since God invented dirt, rated her local MF as an out-n-out favorite.  And her word is the ever lovin' gospel when it comes to food.  I mean, I don't even collect $200 -- I just go.  KnowhatI'msayin?

Onward, with the review!

Kyle was our server (and he might be the bartender, too) was very friendly, informative and attentive.  Then we find out he's a fellow Texas boy...which classifies his attributes as hardwired.  What's more, he treats his job like it was his own business; e.g., at the end of the meal he gave us a business card and added he would enjoy serving us the next time.  And there will be a next time and a next time and a next time.  

Semi-quick facts, anyone?  (It's rare a Texan has a short story.).  

-- Good, warm bread; accompanying olive oil was herbaceous and handily decanted from a table-set bottle
-- Da Beau ordered a starter of (peeled!) asparagus with tomatoes and gorgonzola that was lightly dressed with a tangy vinaigrette.  The leftover tomatoes and 'zola were a treat atop the warm, oil-dipped bread
-- We both ordered -- and consumed to the point of making a happy plate -- the barrumunda atop lentils and sauteed spinach.  This was our first tasting of barrumunda.  A moderately white fish, it is native to the rivers of Australia and reminded me of good ol' Texas catfish.  (Note to self:  fry-up a batch of panko-crusted barrumunda at home.).  The three fillets of fish, lentils and spinach were perfectly seasoned (read:  a smidgen of salt).  

Again, pay no attention to the reviews, here, about bad service.  Yet, let's say those reviews make an impression.  Ok, if you have any reservations about dining here, go anyway and ask to be seated in Kyle's station.",1
"Bland and lackluster food that is not worth the price or the wait to get it.  We had lunch at Nourish a few months ago and while we weren't overly impressed, as they do serve healthy food that is in line with our whole foods, plant-based eating habits, we decided to give them another shot and went for brunch a few weekends ago.  I ordered the egg sandwich, which is described as an air-fried egg, avocado, and tomato on a gluten free bagel with a side of sweet potato hash.  As I have never found gluten free bread products to be very mouth-watering, I asked to substitute multi-grain bread in place of the bagel, as the bread had previously been the best part of the lunch sandwich that I'd had.  The server informed me that they were out of bread (how does a restaurant run out of bread when half of their menu items are sandwiches? very poor planning by management) and that the only other item available was a wheat bun, which I opted for.  My husband ordered the veggie quiche, which is described as zucchini, asparagus, caramelized onion, parmesan, and a quinoa crust. 

After an incredibly long wait (the restaurant was less than 1/3 full), our food finally arrived.  My egg sandwich was by far the most flavorless breakfast item I have ever consumed.  The air-fried egg had sounded appealing as it would be healthy and not greasy, which was the case, however I didn't realize that this also meant there would be absolutely no seasoning on it or flavor to it at all.  The sweet potato hash was downright disgusting and I only consumed a cube or two of the mushy, flavorless heap that was on my plate.  As bad as my meal was, my husband's veggie quiche definitely won the award for worst breakfast item ever tasted.  The ""quinoa crust"" which we were looking forward to as we love quinoa dishes, was actually undercooked quinoa mixed throughout the entire quiche with no visible crust present, which gave the whole thing a granular texture equivalent to fine gravel having been poured into the dish.  The vegetables almost appeared to be ground up as there was just an overall green appearance to the egg portion with no discernible pieces of the veggies described on the menu actually present.  The dish in general had a strange taste and the off-putting texture from the quinoa was more than I could handle even in just the one bite that I tasted.  I honestly don't know how my husband even managed to choke down the portion of the quiche that he did.

We also each had two bloody marys while we were there and while each took an incredibly long time to get, the first one was flavorful and seemed to be made ""extra spicy"" as we requested, however, the second one was flavorless and tasted like watered down tomato juice.  While Nourish has a nice patio and offers a view of the lush foliage present in the complex, these elements are not enough to bring us back after we left with our tastebuds reeling in horror over the flavors, or lack thereof, of our brunch.",0
"Angel Sweet Gelato is a welcome treat on a hot day. It sits in a small strip in the middle of Mesa Riverview, but if you can find it (west of Logan's), it's worth a stop.

The selection of flavors is large, including a dozen dairy-free fruit flavors that aren't quite as decadent as the dairy gelatos in the left-hand case. I've tried the lemon and all the berry flavors, and haven't found anything that wasn't delicious. The prices are reasonable, and you can order sizes from one small scoop to a big box (all unfortunately served in styrofoam).

There isn't a lot of seating in Angel Sweet, but I've never seen it full. Get a punch card if you live in the area. If you like firemen, this would be a good place to see them hanging out.  =)",1
Just called at 9:45 to ask when they were open until. Woman said they were already closed but website says open until 10 pm. Really?? Obviously don't care about patronage...mexican is a dime a dozen in the new NEW Mexico...no thanks. Next!,0
